fecha,precio_cierre,variacion_pct_diaria,promedio_movil_30d,promedio_movil_90d,volatilidad_30d,maximo_mes,minimo_mes
2025-03-27,1016.75,,,,,,
2025-03-28,1023.0,0.6147,,,,,
2025-03-31,1014.75,-0.8065,,,,,
2025-04-01,1034.25,1.9217,,,,,
2025-04-02,1029.5,-0.4593,,,,,
2025-04-03,1011.5,-1.7484,,,,,
2025-04-04,977.0,-3.4108,,,,,
2025-04-07,983.0,0.6141,,,,,
2025-04-08,992.75,0.9919,,,,,
2025-04-09,1012.75,2.0146,,,,,
2025-04-10,1029.0,1.6045,,,,,
2025-04-11,1042.75,1.3362,,,,,
2025-04-14,1041.75,-0.0959,,,,,
2025-04-15,1036.0,-0.552,,,,,
2025-04-16,1038.75,0.2654,,,,,
2025-04-17,1036.5,-0.2166,,,,,
2025-04-21,1029.5,-0.6753,,,,,
2025-04-22,1035.0,0.5342,,,,,
2025-04-23,1040.25,0.5072,,,,,
2025-04-24,1053.0,1.2257,,,,,
2025-04-25,1049.75,-0.3086,,,,,
2025-04-28,1052.0,0.2143,,,,,
2025-04-29,1041.0,-1.0456,,,,,
2025-04-30,1034.75,-0.6004,,,,,
2025-05-01,1040.25,0.5315,,,,,
2025-05-02,1048.75,0.8171,,,,,
2025-05-05,1038.0,-1.025,,,,,
2025-05-06,1034.75,-0.3131,,,,,
2025-05-07,1030.5,-0.4107,,,,,
2025-05-08,1036.75,0.6065,1029.475,,,,
2025-05-09,1044.0,0.6993,1030.3833,,1.1263,,
2025-05-12,1066.0,2.1073,1031.8167,,1.1817,,
2025-05-13,1067.25,0.1173,1033.5667,,1.168,,
2025-05-14,1067.0,-0.0234,1034.6583,,1.1207,,
2025-05-15,1051.25,-1.4761,1035.3833,,1.1534,,
2025-05-16,1050.0,-0.1189,1036.6667,,1.1018,,
2025-05-19,1050.75,0.0714,1039.125,,0.8761,,
2025-05-20,1053.0,0.2141,1041.4583,,0.8734,,
2025-05-21,1062.75,0.9259,1043.7917,,0.8715,,
2025-05-22,1067.5,0.447,1045.6167,,0.8053,,
2025-05-23,1060.25,-0.6792,1046.6583,,0.7732,,
2025-05-27,1062.5,0.2122,1047.3167,,0.7378,,
2025-05-28,1048.5,-1.3176,1047.5417,,0.7795,,
2025-05-29,1051.75,0.31,1048.0667,,0.7734,,
2025-05-30,1041.75,-0.9508,1048.1667,,0.7935,,
2025-06-02,1033.5,-0.7919,1048.0667,,0.8061,,
2025-06-03,1040.75,0.7015,1048.4417,,0.8059,,
2025-06-04,1045.0,0.4084,1048.775,,0.8036,,
2025-06-05,1051.75,0.6459,1049.1583,,0.8068,,
2025-06-06,1057.25,0.5229,1049.3,,0.781,,
2025-06-09,1056.0,-0.1182,1049.5083,,0.779,,
2025-06-10,1057.75,0.1657,1049.7,,0.7786,,
2025-06-11,1050.5,-0.6854,1050.0167,,0.7643,,
2025-06-12,1042.25,-0.7853,1050.2667,,0.7703,,
2025-06-13,1069.75,2.6385,1051.25,,0.9026,,
2025-06-16,1069.75,0.0,1051.95,,0.8924,,
2025-06-17,1074.0,0.3973,1053.15,,0.8697,,
2025-06-18,1074.75,0.0698,1054.4833,,0.8659,,
2025-06-20,1068.0,-0.6281,1055.7333,,0.8715,,
2025-06-23,1058.75,-0.8661,1056.4667,,0.8847,,
2025-06-24,1046.75,-1.1334,1056.5583,,0.9031,,
2025-06-25,1025.25,-2.054,1055.2,,0.8898,,
2025-06-26,1022.75,-0.2438,1053.7167,,0.8888,,
2025-06-27,1027.75,0.4889,1052.4083,,0.896,,
2025-06-30,1024.25,-0.3405,1051.5083,,0.86,,
2025-07-01,1024.75,0.0488,1050.6667,,0.8603,,
2025-07-02,1050.5,2.5128,1050.6583,,0.9818,,
2025-07-03,1056.25,0.5474,1050.7667,,0.9861,,
2025-07-07,1031.75,-2.3195,1049.7333,,1.0581,,
2025-07-08,1024.25,-0.7269,1048.2917,,1.0592,,
2025-07-09,1012.25,-1.1716,1046.6917,,1.0717,,
2025-07-10,1012.5,0.0247,1045.025,,1.07,,
2025-07-11,1004.0,-0.8395,1043.5417,,1.0556,,
2025-07-14,997.0,-0.6972,1041.7167,,1.0568,,
2025-07-15,995.0,-0.2006,1040.1583,,1.0466,,
2025-07-16,1013.5,1.8593,1039.4917,,1.1009,,
2025-07-17,1021.5,0.7893,1038.85,,1.1031,,
2025-07-18,1027.75,0.6118,1038.275,,1.1066,,
2025-07-21,1015.0,-1.2406,1037.05,,1.1193,,
2025-07-22,1010.25,-0.468,1035.4833,,1.1145,,
2025-07-23,1005.75,-0.4454,1033.8083,,1.1158,,
2025-07-24,1004.25,-0.1491,1032.025,,1.1142,,
2025-07-25,998.75,-0.5477,1030.3,,1.1122,,
2025-07-28,988.75,-1.0013,1028.5167,,1.1171,,
2025-07-29,981.75,-0.708,1025.5833,,0.9865,,
2025-07-30,967.75,-1.426,1022.1833,,1.0066,,
2025-07-31,961.75,-0.62,1018.4417,,0.9984,,
2025-08-01,961.75,0.0,1014.675,,0.9975,,
2025-08-04,969.0,0.7538,1011.375,,1.0166,,
2025-08-05,969.0,0.0,1008.3833,1031.4417,1.0128,,
2025-08-06,961.5,-0.774,1005.5417,1030.8278,1.0046,,
2025-08-07,971.75,1.066,1003.7583,1030.2583,0.9755,,
2025-08-08,966.75,-0.5145,1001.8917,1029.725,0.9774,,
2025-08-11,989.5,2.3532,1000.6167,1029.2278,1.0759,,
2025-08-12,1011.75,2.2486,1000.2,1029.0306,1.1583,,
2025-08-13,1023.5,1.1614,1000.1583,1029.1639,1.1787,,
2025-08-14,1008.5,-1.4656,998.7583,1029.5139,1.1083,,
2025-08-15,1022.25,1.3634,997.625,1029.95,1.1352,,
2025-08-18,1020.75,-0.1467,997.2583,1030.2611,1.0554,,
2025-08-19,1013.0,-0.7592,996.8833,1030.2639,1.0561,,
2025-08-20,1015.0,0.1974,996.975,1030.1083,1.0345,,
2025-08-21,1034.5,1.9212,997.7083,1030.0167,1.0915,,
2025-08-22,1036.5,0.1933,998.7917,1029.9583,1.0778,,
2025-08-25,1025.5,-1.0613,999.7417,1029.8417,1.0892,,
2025-08-26,1028.75,0.3169,1000.8667,1029.7306,1.0884,,
2025-08-27,1027.25,-0.1458,1001.325,1029.6278,1.0381,,
2025-08-28,1028.25,0.0973,1001.55,1029.6139,1.0288,,
2025-08-29,1036.75,0.8266,1001.85,1029.6333,1.0337,,
2025-09-02,1025.75,-1.061,1002.2083,1029.4722,1.0266,,
2025-09-03,1016.0,-0.9505,1002.4,1029.0611,1.0385,,
2025-09-04,1012.0,-0.3937,1002.6083,1028.6417,1.0378,,
2025-09-05,1006.5,-0.5435,1002.6833,1028.1361,1.0426,,
2025-09-08,1013.5,0.6955,1003.175,1027.8306,1.0442,,
2025-09-09,1011.5,-0.1973,1003.9333,1027.5722,1.0264,,
2025-09-10,1005.5,-0.5932,1004.725,1027.1861,1.0235,,
2025-09-11,1015.25,0.9697,1006.3083,1026.8139,0.9946,,
2025-09-12,1025.75,1.0342,1008.4417,1026.6778,0.9955,,
2025-09-15,1042.75,1.6573,1011.1417,1026.7667,1.0283,,
2025-09-16,1049.75,0.6713,1013.8333,1026.9806,1.0271,,
2025-09-17,1043.75,-0.5716,1016.325,1027.0583,1.0376,,
2025-09-18,1037.5,-0.5988,1018.8583,1026.9861,1.0321,,
2025-09-19,1025.5,-1.1566,1020.65,1026.5361,1.0517,,
2025-09-22,1011.0,-1.4139,1022.125,1025.9111,1.0847,,
2025-09-23,1012.0,0.0989,1022.875,1025.3,1.0021,,
2025-09-24,1009.0,-0.2964,1022.7833,1024.8306,0.9162,,
2025-09-25,1012.25,0.3221,1022.4083,1024.4111,0.8918,,
2025-09-26,1013.75,0.1482,1022.5833,1024.0,0.8501,,
2025-09-29,1010.5,-0.3206,1022.1917,1023.5278,0.8132,,
2025-09-30,1001.75,-0.8659,1021.5583,1022.85,0.8271,,
2025-10-01,1013.0,1.123,1021.5583,1022.2444,0.8434,,
2025-10-02,1023.75,1.0612,1021.85,1021.8389,0.8647,,
2025-10-03,1018.0,-0.5617,1021.3,1021.3444,0.7936,,
2025-10-06,1017.75,-0.0246,1020.675,1021.0028,0.7923,,
2025-10-07,1022.0,0.4176,1020.5583,1020.6722,0.7735,,
2025-10-08,1029.5,0.7339,1020.5833,1020.5361,0.7832,,
2025-10-09,1022.25,-0.7042,1020.4167,1020.4111,0.7935,,
2025-10-10,1006.75,-1.5163,1019.7,1020.0333,0.8391,,
2025-10-13,1007.75,0.0993,1018.7333,1019.6194,0.8228,,
2025-10-14,1006.5,-0.124,1018.0917,1019.1167,0.8022,,
2025-10-15,1006.5,0.0,1017.775,1018.5528,0.7844,,
2025-10-16,1010.75,0.4223,1017.7333,1018.05,0.7854,,
2025-10-17,1019.5,0.8657,1018.1667,1017.625,0.794,,
2025-10-20,1031.75,1.2016,1018.775,1017.4167,0.8134,,
2025-10-21,1030.75,-0.0969,1019.4167,1017.2889,0.8125,,
2025-10-22,1034.75,0.3881,1020.3917,1016.9,0.8047,,
2025-10-23,1044.75,0.9664,1021.375,1016.6222,0.8046,,
2025-10-24,1041.75,-0.2872,1021.9083,1016.2639,0.7876,,
2025-10-27,1067.25,2.4478,1022.725,1016.1806,0.8536,,
2025-10-28,1078.25,1.0307,1023.675,1016.2944,0.8646,,
2025-10-29,1080.25,0.1855,1024.8917,1016.5333,0.8555,,
2025-10-30,1091.25,1.0183,1026.6833,1017.0278,0.8597,,
2025-10-31,1099.75,0.7789,1029.1583,1017.8556,0.8286,,
2025-11-03,1119.75,1.8186,1032.7833,1018.9333,0.8167,,
2025-11-04,1108.25,-1.027,1035.9917,1019.8278,0.8534,,
2025-11-05,1119.75,1.0377,1039.6833,1020.8889,0.8556,,
2025-11-06,1091.75,-2.5006,1042.3333,1021.6333,1.0017,,
2025-11-07,1101.75,0.916,1045.2667,1022.2028,1.0086,,
2025-11-10,1116.0,1.2934,1048.7833,1022.8667,1.0183,,
2025-11-11,1113.25,-0.2464,1052.5,1023.7722,0.9992,,
2025-11-12,1120.5,0.6512,1056.0833,1024.8417,0.9904,,
2025-11-13,1132.0,1.0263,1059.6917,1026.1722,0.9895,,
2025-11-14,1112.75,-1.7005,1062.85,1027.2861,1.0456,,
2025-11-17,1157.25,3.9991,1067.5,1028.9889,1.2418,,
2025-11-18,1153.5,-0.324,1071.8833,1030.7278,1.2496,,
2025-11-19,1136.25,-1.4954,1075.4417,1032.2972,1.2952,,
2025-11-20,1122.5,-1.2101,1078.7833,1033.5083,1.3124,,
2025-11-21,1125.0,0.2227,1082.725,1034.6583,1.2661,,
2025-11-24,1123.25,-0.1556,1086.575,1035.7194,1.2689,,
2025-11-25,1124.75,0.1335,1090.5167,1036.9389,1.2663,,
2025-11-26,1131.5,0.6001,1094.6833,1038.2861,1.2649,,
2025-11-28,1137.75,0.5524,1098.9167,1039.7528,1.2652,,
2025-12-01,1128.0,-0.857,1102.5333,1041.1278,1.2824,,
2025-12-02,1124.75,-0.2881,1105.6333,1042.5278,1.277,,
2025-12-03,1115.75,-0.8002,1108.4667,1043.9389,1.2908,,
2025-12-04,1119.5,0.3361,1111.2917,1045.4694,1.2907,,
2025-12-05,1105.25,-1.2729,1113.3083,1046.9972,1.3136,,
2025-12-08,1093.75,-1.0405,1115.0417,1048.4639,1.3302,,
2025-12-09,1087.25,-0.5943,1115.7083,1049.8583,1.2651,,
2025-12-10,1091.25,0.3679,1116.1417,1051.2167,1.2534,,
2025-12-11,1093.5,0.2062,1116.5833,1052.6,1.2535,,
2025-12-12,1076.75,-1.5318,1116.1,1053.8806,1.2718,,
2025-12-15,1071.75,-0.4644,1115.1667,1054.9917,1.2645,,
2025-12-16,1062.75,-0.8397,1113.2667,1056.0583,1.2194,,
2025-12-17,1058.25,-0.4234,1111.6,1056.8222,1.2096,,
2025-12-18,1052.25,-0.567,1109.35,1057.2722,1.1908,,
2025-12-19,1049.25,-0.2851,1107.9333,1057.5583,1.1091,,
2025-12-22,1053.25,0.3812,1106.3167,1058.0556,1.096,,
2025-12-23,1051.5,-0.1662,1104.1667,1058.3806,1.0618,,
2025-12-24,1063.25,1.1175,1102.5,1058.8528,1.0883,,
2025-12-26,1058.75,-0.4232,1100.4417,1059.3611,1.0788,,
2025-12-29,1049.5,-0.8737,1097.6917,1059.7444,1.0609,,
2025-12-30,1046.25,-0.3097,1095.475,1059.875,1.025,,
2025-12-31,1030.5,-1.5054,1091.25,1059.8083,0.683,,
2026-01-02,1029.5,-0.097,1087.1167,1059.8528,0.6849,,
2026-01-05,1047.25,1.7241,1084.15,1060.0583,0.7524,,
2026-01-06,1042.0,-0.5013,1081.4667,1060.2222,0.7327,,
2026-01-07,1052.75,1.0317,1079.0583,1060.4944,0.7647,,
2026-01-08,1047.0,-0.5462,1076.5167,1060.6083,0.7669,,
2026-01-09,1048.5,0.1433,1073.975,1060.8611,0.767,,
2026-01-12,1033.0,-1.4783,1070.6917,1061.05,0.7831,,
2026-01-13,1023.25,-0.9439,1066.875,1061.175,0.7745,,
2026-01-14,1030.5,0.7085,1063.625,1061.4417,0.7917,,
2026-01-15,1053.0,2.1834,1061.2333,1061.8806,0.9122,,
2026-01-16,1057.75,0.4511,1059.3,1062.3944,0.9132,,
2026-01-20,1053.0,-0.4491,1057.0833,1062.9222,0.9093,,
2026-01-21,1064.5,1.0921,1055.725,1063.4694,0.9156,,
2026-01-22,1064.0,-0.047,1054.7333,1063.8944,0.899,,
2026-01-23,1067.75,0.3524,1054.0833,1064.1722,0.8972,,
2026-01-26,1061.75,-0.5619,1053.1,1064.3056,0.8981,,
2026-01-27,1067.25,0.518,1052.225,1064.5667,0.9034,,
2026-01-28,1075.0,0.7262,1052.1667,1064.9833,0.8715,,
2026-01-29,1072.25,-0.2558,1052.1833,1065.5028,0.8685,,
2026-01-30,1064.25,-0.7461,1052.2333,1066.0944,0.8655,,
2026-02-02,1060.25,-0.3759,1052.3,1066.6306,0.8648,,
2026-02-03,1065.75,0.5187,1052.75,1067.2611,0.8625,,
2026-02-04,1092.25,2.4865,1054.1833,1068.15,0.9678,,
2026-02-05,1112.25,1.8311,1056.15,1069.2444,1.0154,,
2026-02-06,1115.25,0.2697,1058.275,1070.4083,1.0133,,
2026-02-09,1110.75,-0.4035,1059.8583,1071.6194,1.0039,,
2026-02-10,1122.5,1.0578,1061.9833,1072.8361,1.0111,,
2026-02-11,1124.0,0.1336,1064.4667,1073.95,0.9907,,
2026-02-12,1137.25,1.1788,1067.5,1075.275,0.9998,,
2026-02-13,1133.0,-0.3737,1070.9167,1076.5556,0.9501,,
2026-02-17,1134.0,0.0883,1074.4,1077.8,0.9479,,
2026-02-18,1133.5,-0.0441,1077.275,1078.9556,0.9123,,
2026-02-19,1141.0,0.6617,1080.575,1080.275,0.9032,,
2026-02-20,1137.5,-0.3067,1083.4,1081.7278,0.8992,,
2026-02-23,1134.25,-0.2857,1086.3083,1083.1333,0.8923,,
2026-02-24,1139.5,0.4629,1089.3417,1084.6111,0.8927,,
2026-02-25,1148.25,0.7679,1093.1833,1086.1861,0.8321,,
2026-02-26,1147.75,-0.0435,1097.3333,1087.7083,0.7992,,
2026-02-27,1157.25,0.8277,1101.5583,1089.2389,0.8011,,
2026-03-02,1150.0,-0.6265,1104.7917,1090.5528,0.7467,1213.0,1150.0
2026-03-03,1155.75,0.5,1108.0583,1091.9417,0.7471,1213.0,1150.0
2026-03-04,1154.5,-0.1082,1111.4417,1093.2722,0.7379,1213.0,1150.0
2026-03-05,1163.75,0.8012,1114.75,1094.5944,0.7291,1213.0,1150.0
2026-03-06,1185.0,1.826,1118.7833,1096.1861,0.777,1213.0,1150.0
2026-03-09,1180.5,-0.3797,1122.5417,1097.4444,0.7887,1213.0,1150.0
2026-03-10,1187.25,0.5718,1126.725,1098.6556,0.771,1213.0,1150.0
2026-03-11,1200.5,1.116,1131.1667,1099.9917,0.7825,1213.0,1150.0
2026-03-12,1213.0,1.0412,1135.7667,1101.3444,0.7892,1213.0,1150.0
2026-03-13,1211.0,-0.1649,1140.3917,1102.5806,0.7867,1213.0,1150.0
2026-03-16,1155.25,-4.6036,1143.425,1102.975,1.1926,1213.0,1150.0
2026-03-17,1157.0,0.1515,1146.65,1103.5167,1.1865,1213.0,1150.0
2026-03-18,1161.75,0.4105,1149.85,1103.9833,1.1859,1213.0,1150.0
2026-03-19,1168.5,0.581,1152.3917,1104.8361,1.1133,1213.0,1150.0
2026-03-20,1161.25,-0.6205,1154.025,1105.4972,1.0814,1213.0,1150.0
2026-03-23,1163.5,0.1938,1155.6333,1106.025,1.0812,1213.0,1150.0
2026-03-24,1155.0,-0.7306,1157.1083,1106.4889,1.0885,1213.0,1150.0
2026-03-25,1171.75,1.4502,1158.75,1107.0583,1.1022,1213.0,1150.0
2026-03-26,1173.75,0.1707,1160.4083,1107.5222,1.1023,1213.0,1150.0
2026-03-27,1159.5,-1.2141,1161.15,1108.0417,1.1118,1213.0,1150.0
